tiempo,posicion_robot[Y],velocidad_robot[Y],velocidad_ruedas,fuerza_ruedas
0.00011086463928222656,0.0,0.0,15,50
0.004544973373413086,0.00021803426137631925,0.05232822273031662,15,50
0.012031316757202148,0.0007151808038899644,0.11931517020327485,15,50
0.012695074081420898,0.0015075901476800423,0.19017824250961873,15,50
0.020436763763427734,0.0025739441024156167,0.25592494913653785,15,50
0.021064043045043945,0.003863108399429882,0.3093994312834236,15,50
0.0255887508392334,0.005365407447529643,0.3605517715439425,15,50
0.0294191837310791,0.0070377120107290485,0.40135309516785733,15,50
0.03675222396850586,0.008942620861327818,0.45717812414370473,15,50
0.0376894474029541,0.011062786293285908,0.5088397036699417,15,50
0.04219222068786621,0.013393053158127331,0.5592640475619415,15,50
0.046132564544677734,0.015898151557877903,0.6012236159401376,15,50
0.05350208282470703,0.01857990516530937,0.6436208657835523,15,50
0.05440711975097656,0.02144019468410057,0.6864694845098881,15,50
0.05891084671020508,0.0244740892027144,0.7281346844673191,15,50
0.06274175643920898,0.02772749438136985,0.7808172428773084,15,50
0.06980729103088379,0.031185342059941792,0.829883442857266,15,50
0.07102322578430176,0.03483559929269087,0.87606173585978,15,50
0.0755608081817627,0.03867282252205874,0.9209335750482878,15,50
0.07940983772277832,0.042687372318151326,0.9634919510622205,15,50
0.08680510520935059,0.0468608460429717,1.0016336939568904,15,50
0.08768010139465332,0.05126432019141532,1.0568337956264697,15,50
0.0921626091003418,0.05584355455007148,1.0990162460774768,15,50
0.09608697891235352,0.06066107809048723,1.1562056496997797,15,50
0.10341930389404297,0.0656897586069255,1.206883323945186,15,50
0.10445117950439453,0.07089269488590498,1.248704706955076,15,50
0.10887455940246582,0.0762974391395208,1.2971386208677977,15,50
0.11272883415222168,0.08187240854510218,1.3379926573395298,15,50
0.11996841430664062,0.08757615161064601,1.3688983357305191,15,50
0.12102198600769043,0.09350372663996204,1.422618007035847,15,50
0.1255643367767334,0.09963010231723612,1.4703301625457827,15,50
0.12941765785217285,0.1059250712958543,1.5107925548683605,15,50
0.13667941093444824,0.11237600661125109,1.5482244756952301,15,50
0.1376972198486328,0.11900280857339209,1.5904324709138373,15,50
0.14219093322753906,0.12586662014902703,1.6473147781523862,15,50
0.1460590362548828,0.1329185466177708,1.6924623524985054,15,50
0.15349721908569336,0.14018587068834482,1.7441577769377645,15,50
0.15442466735839844,0.14772846414621094,1.8102224298878706,15,50
0.15889239311218262,0.1554730337047916,1.8586966940593572,15,50
0.16280174255371094,0.1633718809963193,1.8957233499666497,15,50
0.16687583923339844,0.17148587060355427,1.9473575057363954,15,50
0.17497825622558594,0.17975484112496873,1.984552925139466,15,50
0.17580556869506836,0.18823619319077695,2.035524495793974,15,50
0.17948031425476074,0.19690713219532924,2.0810253610925478,15,50
0.1835494041442871,0.20567182231675613,2.103525629142451,15,50
0.1924149990081787,0.22374778500852113,2.1965053336007787,15,50
0.196136474609375,0.23307698941769878,2.239009058202634,15,50
0.20024490356445312,0.24261750506817642,2.2897237561146366,15,50
0.2092130184173584,0.2620803484336634,2.3597156709323213,15,50
0.21282267570495605,0.2720225506240736,2.386128525698452,15,50
0.21691393852233887,0.2821254678098055,2.4247001245756548,15,50
0.22639846801757812,0.3028106694814634,2.4960670523752597,15,50
0.22942638397216797,0.31336164774069897,2.5322347822165323,15,50
0.2335970401763916,0.3239821976208848,2.548931971244598,15,50
0.24253177642822266,0.33467233722182416,2.5824945501070387,15,50
0.24284696578979492,0.34543273118060347,2.5824945501070387,15,50
0.2461550235748291,0.3561968402444263,2.583386175317487,15,50
0.2503328323364258,0.36699941547592524,2.592618055559741,15,50
0.26055479049682617,0.38868080658571946,2.5995072923084677,15,50
0.2628612518310547,0.3995372536342711,2.6055472916523965,15,50
0.26694154739379883,0.4103778123977163,2.6017341032268426,15,50
0.27649998664855957,0.4320817600389436,2.602277544996332,15,50
0.2794783115386963,0.4429232222271737,2.6019509251752146,15,50
0.2836120128631592,0.45378487936032275,2.6067977119557812,15,50
0.2930307388305664,0.47553132828223704,2.6126136930564665,15,50
0.29683756828308105,0.48639684387090193,2.6077237412795746,15,50
0.30063509941101074,0.4972710527256086,2.6098101251296,15,50
0.3096935749053955,0.5190551440638196,2.6137477697990747,15,50
0.3127901554107666,0.5299738386353258,2.6204866971614873,15,50
0.3169419765472412,0.5408737411299993,2.6159765987216446,15,50
0.32109618186950684,0.551784046606604,2.6184733143851124,15,50
0.3279902935028076,0.5627264519681359,2.6261772867676685,15,50
0.32947516441345215,0.5736521717094933,2.622172737925781,15,50
0.3336334228515625,0.5846210706052815,2.6325357349891405,15,50
0.33786845207214355,0.5955660888358069,2.6268043753260972,15,50
0.34383559226989746,0.6065159191912652,2.627959285310016,15,50
0.3462975025177002,0.6174996284643143,2.636090225531766,15,50
0.35030031204223633,0.6284739558810005,2.6338385800047073,15,50
0.3544330596923828,0.639447304487462,2.633603665550757,15,50
0.3611464500427246,0.6504537401292388,2.6415445540264493,15,50
0.36278223991394043,0.6614601087476393,2.64152846841611,15,50
0.3670346736907959,0.6724975598733737,2.6489882701762593,15,50
0.37113356590270996,0.6835218263320184,2.645823950074742,15,50
0.3782646656036377,0.6945485679300264,2.646417983521916,15,50
0.37941479682922363,0.7056095569812015,2.6546373722820418,15,50
0.383622407913208,0.7166669851649036,2.6537827640884966,15,50
0.3877675533294678,0.7277515929198414,2.660305861185072,15,50
0.39473390579223633,0.738823297271766,2.6572090444619043,15,50
0.39607691764831543,0.749909575254281,2.6607067158036126,15,50
