tiempo,posicion_robot[Y],velocidad_robot[Y],velocidad_ruedas,fuerza_ruedas
0.0002353191375732422,0.0,0.0,11.25,75
0.036905527114868164,0.002711058464457338,0.21566792380574873,11.25,75
0.037722110748291016,0.0038834180507538165,0.2813663007111548,11.25,75
0.04802441596984863,0.0068278258644164334,0.37300345585501327,11.25,75
0.05034661293029785,0.008495538726378822,0.4002510868709732,11.25,75
0.06389260292053223,0.015178491153436842,0.5909533760204398,11.25,75
0.06699228286743164,0.01778976547889322,0.6267058381095303,11.25,75
0.07892131805419922,0.02351413107521901,0.723359210407243,11.25,75
0.07938766479492188,0.026791590878179363,0.7865903527104847,11.25,75
0.08357691764831543,0.030391267037533722,0.8639222782450459,11.25,75
0.09455013275146484,0.03814781765739537,0.9679821505680003,11.25,75
0.09662675857543945,0.04244173642506249,1.0305405042401101,11.25,75
0.10036563873291016,0.0470510963783311,1.1062463887844671,11.25,75
0.10439038276672363,0.051779812677906954,1.1348919118982048,11.25,75
0.1140737533569336,0.061616908273927136,1.2128726464323976,11.25,75
0.11705493927001953,0.0668757221065509,1.262115319829704,11.25,75
0.12680339813232422,0.07798646866665201,1.342232727554722,11.25,75
0.12944793701171875,0.0838568549776021,1.4088927146280228,11.25,75
0.13359737396240234,0.08994096477769277,1.4601863520217608,11.25,75
0.1433703899383545,0.10280812507584622,1.56155644489902,11.25,75
0.1505284309387207,0.1161099398807867,1.6250464050271374,11.25,75
0.17058420181274414,0.14461260175485535,1.7413634103566302,11.25,75
0.18169689178466797,0.16763637068679232,1.878516931725133,11.25,75
0.18375492095947266,0.1755471625743614,1.898590053016577,11.25,75
0.2323145866394043,0.2658642516834552,1.9764887493972496,11.25,75
0.23383021354675293,0.274111869676672,1.979428318372036,11.25,75
0.24137592315673828,0.2823578437511236,1.9790337778683889,11.25,75
0.2420203685760498,0.2905848712814792,1.9744866072853475,11.25,75
0.2493760585784912,0.2988272067146183,1.9781605039533912,11.25,75
0.2505464553833008,0.307090860264171,1.9832768518926378,11.25,75
0.25823974609375,0.31535879354692076,1.984303987859944,11.25,75
0.2587242126464844,0.3236154843644331,1.981605796202959,11.25,75
0.2630281448364258,0.3318739818852868,1.982039405004879,11.25,75
0.2670934200286865,0.34016169589202694,1.9890513616176426,11.25,75
0.2745370864868164,0.3484607462318583,1.9917720815595217,11.25,75
0.27533984184265137,0.3567554651818118,1.9907325479888296,11.25,75
0.27955031394958496,0.36504326592532005,1.9890721784419811,11.25,75
0.28394079208374023,0.37334759761242736,1.993039604905753,11.25,75
0.2910001277923584,0.38167119388380066,1.997663105129591,11.25,75
0.292006254196167,0.38999531164030765,1.9977882615616742,11.25,75
0.298980712890625,0.39830079294761256,1.9933155137531768,11.25,75
0.3014228343963623,0.40662784881583475,1.99849340837332,11.25,75
0.31418871879577637,0.43169595522548343,2.004232889999044,11.25,75
0.33236265182495117,0.46524767866279915,2.0142693488389227,11.25,75
0.3337585926055908,0.4736397886366638,2.014106393727508,11.25,75
0.34717655181884766,0.49891908141651975,2.0215621341639616,11.25,75
0.3512861728668213,0.5073372572208765,2.0203621930456275,11.25,75
0.3686995506286621,0.5411429909744062,2.02589821614847,11.25,75
0.37723779678344727,0.5581053800591927,2.0368667884346014,11.25,75
0.37952661514282227,0.5665828486464349,2.034592460938132,11.25,75
0.39913344383239746,0.6005484521874755,2.039117709519516,11.25,75
0.4006171226501465,0.6090333764636711,2.0363818262869122,11.25,75
0.4149794578552246,0.6345869258659533,2.042588790600933,11.25,75
0.43055105209350586,0.6686707380779119,2.043956235207723,11.25,75
0.46192097663879395,0.7283717618050111,2.0482981965560296,11.25,75
0.4627406597137451,0.7368992721039771,2.046602471751836,11.25,75
0.4951462745666504,0.7879638414230469,2.0415465314675085,11.25,75
0.49631619453430176,0.7964471988813432,2.036005789991125,11.25,75
0.5005085468292236,0.8049070959183163,2.030375288873542,11.25,75
0.5077574253082275,0.8133911151459863,2.036164614640795,11.25,75
0.5087118148803711,0.8218678360512831,2.034413017271243,11.25,75
0.5128400325775146,0.8303377570473807,2.0327810390634125,11.25,75
0.5170371532440186,0.8387708378793445,2.023939399671327,11.25,75
0.524322509765625,0.8472114190627771,2.0257394840238336,11.25,75
0.5254132747650146,0.8556308538679808,2.020664353248897,11.25,75
0.529808759689331,0.8639752829279933,2.002662974403001,11.25,75
0.5338413715362549,0.8723538995106129,2.010867979828717,11.25,75
0.541175127029419,0.8807806965017548,2.022431277874058,11.25,75
0.5421772003173828,0.8891356928655031,2.0051991272995746,11.25,75
0.5467410087585449,0.8975117667664647,2.010257736230778,11.25,75
0.55049729347229,0.9058987826446008,2.0128838107526636,11.25,75
0.557713508605957,0.9142746396485883,2.0102056809570295,11.25,75
0.5588302612304688,0.9226205013878829,2.0030068174306783,11.25,75
0.5632140636444092,0.9309924528178577,2.009268343193952,11.25,75
0.5671823024749756,0.9393713996302215,2.0109472349673148,11.25,75
0.5769870281219482,0.9561071254427184,2.0079062223668314,11.25,75
0.5797276496887207,0.9644727294779699,2.007744968460371,11.25,75
0.5838751792907715,0.9728493477027572,2.0103883739489405,11.25,75
0.5910530090332031,0.9812200540131918,2.008969514504293,11.25,75
0.5919356346130371,0.9895876452178218,2.0082218891112187,11.25,75
0.5964164733886719,0.9979439177151154,2.0055053993504584,11.25,75
0.6004092693328857,1.0063149184298052,2.00904017152557,11.25,75
0.610349178314209,1.023064761921864,2.0101576865254698,11.25,75
0.6132156848907471,1.031413204022958,2.0036261042625574,11.25,75
0.6171939373016357,1.0397764251891128,2.0071730798771648,11.25,75
